id,osm_id,source,target,length,foot,car_forward,car_backward,bike_forward,bike_backward,train,wkt
167578012-0,167578012,3183590977,89090306,70.61746789057999,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8907836 52.3727719, 4.8917456 52.3727589, 4.8918200 52.3727706)"
167578013-0,167578013,850625692,7731595975,4.965321152288855,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8932867 52.3734143, 4.8933415 52.3733848)"
167578013-1,167578013,7731595975,3176834562,0.9724543023811895,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8933415 52.3733848, 4.8933522 52.3733790)"
167578013-2,167578013,3176834562,4455062081,4.2615251645763825,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8933522 52.3733790, 4.8934017 52.3733555)"
167578013-3,167578013,4455062081,4455062079,2.901995955403578,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8934017 52.3733555, 4.8934193 52.3733464, 4.8934358 52.3733399)"
167578013-4,167578013,4455062079,1307678812,3.6738788764113193,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8934358 52.3733399, 4.8934755 52.3733175)"
167578013-5,167578013,1307678812,3176834591,5.3104961895962735,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8934755 52.3733175, 4.8935336 52.3732856)"
168633835-0,168633835,410212572,2238233191,57.091957497589156,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8816584 52.3699740, 4.8823349 52.3701958, 4.8823380 52.3701518)"
168633835-1,168633835,2238233191,5027017361,57.0622589965758,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8823380 52.3701518, 4.8823409 52.3701105, 4.8817129 52.3699093, 4.8816842 52.3699433)"
168633835-2,168633835,5027017361,410212572,3.8411131960504905,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.8816842 52.3699433, 4.8816584 52.3699740)"
175386010-0,175386010,1859834159,1859834160,20.339149347928615,Allowed,Forbidden,Forbidden,Allowed,Allowed,Forbidden,"LINESTRING(4.9005563 52.3710593, 4.9004536 52.3710601, 4.9002722 52.3711063)"
179051354-0,179051354,1439221027,299101756,9.960595891086895,Allowed,Forbidden,Forbidden,Track,Track,Forbidden,"LINESTRING(4.9026778 52.3761545, 4.9027484 52.3761105, 4.9027804 52.3760906)"
